1 currency = 1 log = 5 rock = 4 ore = 1 sand/clay = 10 crop = 0.1 bison

Currency	Log	Rock	Ore	Sand/Clay	Crop	Bison
1	        1	5	    4	1	        10	    0.1
2	        2	10	    8	2	        20	0.2
3	        3	15	    12	3	        30	0.3
4	        4	20	    16	4	        40	0.4
5	        5	25	    20	5	        50	0.5
6	        6	30	    24	6	        60	0.6
7	        7	35	    28	7	        70	0.7
8	        8	40	    32	8	        80	0.8
9	        9	45	    36	9	        90	0.9
10	        10	50	    40	10	        100	1
